ENSMUSG00000028180	Zranb2
MGI:3649997	Gm13039
MGI:1339757	Csf1r-rs
MGI:1888496	Tbx20
MGI:103700	T(2C1-2;4D)41Dn
MGI:3642034	Trappc3l
MGI:1888495	Zfp276
ENSMUSG00000000605	Clcn4
MGI:1888498	Gabrq
MGI:1888499	Cxcl13
ENSMUSG00000000600	Krit1
MGI:3650776	Gm13431
MGI:1338064	Gdap9
MGI:1338067	D16Jhu23e
ENSMUSG00000025237	Parp6
MGI:1338061	D16Jhu33
MGI:1338060	D16Jhu30
MGI:1338063	Ssq
MGI:2149681	Skull2
MGI:1338069	Itsn1
MGI:1338068	Pdpk1
MGI:3650778	Gm11681
MGI:1861672	Alan1
MGI:5623542	Gm40657
ENSMUSG00000054033	Adam39
MGI:4360066	Snora43
MGI:5589178	Gm30019
MGI:5610776	Gm37548
MGI:3030738	Olfr904
MGI:3030739	Olfr905
MGI:3030736	Olfr902
MGI:3037101	Mobe2
MGI:3030734	Olfr900
MGI:3030735	Olfr901
MGI:3030732	Olfr898
MGI:3030733	Olfr899
ENSMUSG00000097471	5830432E09Rik
MGI:3030731	Olfr897-ps1
MGI:1929658	Tbk1
ENSMUSG00000010054	Tusc2
ENSMUSG00000010057	Nprl2
MGI:1929651	Supt20
MGI:5624004	Gm41119
MGI:1929657	Hacl1
MGI:3053412	Apsic4
MGI:1929655	Cript
MGI:5621480	Gm38595
ENSMUSG00000089859	Gm13769
ENSMUSG00000084821	Gm15880
MGI:102643	Myh11
MGI:5623429	Gm40544
MGI:5621530	Gm38645
MGI:107698	Usp17lc
MGI:107699	Usp17la
MGI:3590652	Txlng
MGI:107694	Edv3
MGI:107695	Edv2
ENSMUSG00000074639	BC089597
MGI:107690	Zfp462
ENSMUSG00000049018	Olfr368
MGI:107692	Fut7
MGI:1914278	2610002M06Rik
MGI:1343480	D5Buc21
MGI:1343483	D5Buc17
MGI:1343482	D5Buc23
MGI:1343485	Commd8
MGI:1343484	D5Buc16
MGI:1343487	D5Buc10
MGI:1343486	D5Buc34
MGI:1914270	Tmem88
MGI:1343488	D5Buc20
MGI:1914272	Acad9
MGI:1914273	Use1
MGI:3642130	Gm10095
MGI:1914275	Rpl11
MGI:1914276	Thap4
MGI:1914277	Mkrn2
MGI:106341	Atp5o
MGI:106340	Rcor1
MGI:106342	D12Bwg1319e
MGI:106345	D12Bwg0892e
MGI:107210	Tel4q1
MGI:92005	D2Mit145
MGI:3026919	D830039D19Rik
MGI:92007	D2Mit147
ENSMUSG00000054036	Olfr279
ENSMUSG00000014778	Fhod1
MGI:5594647	Gm35488
ENSMUSG00000014771	Pdcd2
ENSMUSG00000025758	Plk4
ENSMUSG00000014773	Dll1
MGI:5594646	Gm35487
ENSMUSG00000014776	Nol3
MGI:90532	D16Mit60
MGI:90530	D16Mit59
MGI:107963	D17Sut1e
ENSMUSG00000090124	Ugt1a7c
MGI:5624567	Gm41682
MGI:2177268	Ppp1r3b
ENSMUSG00000065399	Mir133a-1
ENSMUSG00000090122	Kcne1l
ENSMUSG00000055660	Mettl4
MGI:3651424	Gm12542
MGI:3643819	Ighv16-1
MGI:5622019	Gm39134
MGI:3651421	Gm13485
MGI:3651420	Gm13486
MGI:3651423	Gm13483
ENSMUSG00000099214	Mir6365
MGI:3643813	Gm15476
MGI:1925708	1700064N11Rik
MGI:3643810	Zscan18
MGI:3651429	Gm14452
MGI:3643816	Ighv9-2
MGI:3036270	Atxn7l3
MGI:2149951	Prss28
MGI:2149952	Prss29
MGI:2149955	Olig3
MGI:1298228	Foxq1
MGI:1298229	Nid2
MGI:1298226	Naip2
MGI:1298227	Mcm6
MGI:1298224	Pip5k1c
MGI:1298225	Naip3
MGI:1298222	Naip6
ENSMUSG00000040003	Magi2
MGI:1298220	Naip5
MGI:1298221	Naip4
MGI:3780579	Gm2412
MGI:1351825	Cstf3
ENSMUSG00000019659	Ccdc12
ENSMUSG00000099212	Mir7033
MGI:3702165	Gm14453
MGI:1925706	C030002A05Rik
MGI:3042423	Lmblgq5
MGI:3042422	Lmblgq4
MGI:3042421	Lmblgq3
MGI:1925707	1700054A03Rik
MGI:3644604	Gm9202
MGI:5596058	Gm36899
MGI:5624565	Gm41680
MGI:3042424	Lmblgq6
ENSMUSG00000065397	Mir155
MGI:5594789	Gm35630
MGI:5010492	Gm18307
MGI:5593123	Gm33964
MGI:3036278	Zfp273
MGI:2146542	AU015849
ENSMUSG00000065395	Mir193a
MGI:107185	Cct5
MGI:1917774	5730414N17Rik
MGI:1917777	Stambp
MGI:1917770	Glipr2
MGI:1917771	5730420F10Rik
MGI:1917772	5730415C11Rik
MGI:1917773	5730420D15Rik
MGI:3040483	Elsgp4
MGI:1889231	Swq5
MGI:3644603	Ighv1-19-1
ENSMUSG00000049015	Olfr1467
MGI:5589171	Gm30012
MGI:1889230	Mwq5
MGI:5010491	Gm18306
MGI:5591795	Gm32636
MGI:5546370	Xntrpc
MGI:5596053	Gm36894
MGI:5593129	Gm33970
ENSMUSG00000061718	Ppp1r1b
ENSMUSG00000025511	Tspan4
ENSMUSG00000025510	Cd151
MGI:98728	Tgfbr1
ENSMUSG00000025512	Chid1
MGI:98726	Tgfb2
MGI:98727	Tgfb3
MGI:98724	Tgfa
MGI:98725	Tgfb1
ENSMUSG00000025519	Tktl2
MGI:5434406	Gm21051
MGI:98720	Tg.Myc
MGI:1889234	Igf1q2
MGI:1349414	Cops4
MGI:1349415	Cops5
MGI:1349417	Zfp346
MGI:1349410	Triobp
MGI:1349412	Clec4a2
MGI:1349413	23.MHAa89f11.seq
MGI:3840155	Gm16332
MGI:3780149	Gm1980
MGI:3780148	Gm1979
MGI:1349418	D15H22S992E
MGI:1349419	Aifm1
MGI:3840153	Gm16351
MGI:3840152	Gm16335
MGI:5595478	Gm36319
ENSMUSG00000023829	Slc22a1
ENSMUSG00000023828	Slc22a3
ENSMUSG00000023827	Agpat4
ENSMUSG00000023826	Park2
MGI:89102	D11Mit212
MGI:89103	D11Mit213
MGI:3612701	Spdye4b
MGI:89105	D11Mit22
MGI:3612703	A530040E14Rik
ENSMUSG00000049013	Prss48
ENSMUSG00000023013	Aqp2
MGI:5624558	Gm41673
MGI:3781812	Gm3636
MGI:3781813	Gm3637
MGI:5010497	Gm18312
ENSMUSG00000079577	Gm14692
MGI:3644337	Gm6011
MGI:4439566	Trbj1-5
MGI:3781818	Gm3642
MGI:3781819	Gm3643
MGI:5624245	Gm41360
MGI:5295673	Gm20566
MGI:5295670	Gm20563
ENSMUSG00000067653	Ankrd23,Ankrd39
MGI:98090	Pdc
ENSMUSG00000023968	Crip3
ENSMUSG00000067656	Slc22a27
MGI:5295675	Gm20568
ENSMUSG00000070130	Mir328
MGI:5295678	Pet117
MGI:5295679	Cyp2d35-ps
ENSMUSG00000094063	Olfr638
MGI:3705788	Defa-ps17
MGI:3780495	Gm2325
MGI:3780494	Gm2324
ENSMUSG00000053367	Gm6792
MGI:5579861	Gm29155
ENSMUSG00000025869	Nop16
MGI:1917192	Rnf113a1
MGI:1917193	Lrch4
MGI:1917194	2810021J22Rik
MGI:1917195	Fndc4
MGI:3612502	Cmn3
MGI:3647813	Gm5721
MGI:103914	T(6;7)51H
MGI:5579585	Gm28879
MGI:91728	D1Mit77
MGI:108095	Zfp185
MGI:91725	D1Mit74
MGI:91727	D1Mit76
MGI:3612500	Cmn1
MGI:91721	D1Mit70
MGI:91720	D1Mit7
MGI:5589175	Gm30016
ENSMUSG00000060397	Zfp128
MGI:1916823	Hilpda
MGI:1916822	Mfsd3
MGI:1916821	2310034O05Rik
ENSMUSG00000038838	Vars2
MGI:1916826	Smco1
MGI:1916824	Cmbl
MGI:5011306	Gm19121
MGI:1916829	2310034P14Rik
MGI:1916828	2310016G11Rik
ENSMUSG00000073257	Gm10488
ENSMUSG00000045962	Wnk1
MGI:1341225	106I22-Sp6
MGI:1341222	236k12-Sp6
MGI:4413785	n-TCgca18
ENSMUSG00000079579	Gm6760
MGI:3524760	Arigg5
MGI:1341229	187c10-Sp6
MGI:5010494	Gm18309
ENSMUSG00000053094	Tmem248
ENSMUSG00000053091	Lins1
MGI:5591800	Gm32641
ENSMUSG00000053093	Myh7
MGI:3581246	Igan2
MGI:3581248	Igan4
ENSMUSG00000045967	Gpr158
MGI:2684916	Ppp1r36
MGI:2684917	Vcpkmt
MGI:3053764	Brmth8
ENSMUSG00000044117	2900011O08Rik
MGI:2684912	Qrich2
MGI:1926170	Dlst
MGI:2136446	Nat8f2
MGI:3053761	Brmth5
MGI:2136449	Nat8f3
MGI:5589177	Gm30018
MGI:1926171	9130019O22Rik
ENSMUSG00000087022	9130024F11Rik,Gm38484
MGI:5010099	Gm17914
MGI:2684919	Gcnt4
MGI:95509	Fdpsl7
MGI:98919	Scgb1a1
ENSMUSG00000068547	Clca4a
MGI:2672859	Slfn8
ENSMUSG00000091175	9130204L05Rik
MGI:5624848	Gm41963
MGI:3652105	Gm11591
MGI:5621309	Gm38424
MGI:5621308	Gm38423
ENSMUSG00000028973	Abcb8
MGI:3651497	Gm12176
MGI:5011767	Gm19582
MGI:5621301	Gm38416
MGI:2142928	AA408954
MGI:5621303	Gm38418
MGI:5621302	Gm38417
MGI:5621305	Gm38420
ENSMUSG00000060459	Kng2
MGI:5621307	Gm38422
MGI:5621306	Gm38421
ENSMUSG00000070315	4930581F22Rik
MGI:1920783	1700080G18Rik
MGI:89818	D13Mit89
ENSMUSG00000100200	1700012L04Rik
ENSMUSG00000070311	Olfr894
MGI:1913066	Sh3rf1
ENSMUSG00000020033	4930463O16Rik
MGI:1920782	1700080E11Rik
MGI:89812	D13Mit83
MGI:3779825	Gm8949
MGI:2656513	Lmr7
MGI:89811	D13Mit82
MGI:89816	D13Mit87
ENSMUSG00000020038	Cry1
MGI:89814	D13Mit85
MGI:89815	D13Mit86
ENSMUSG00000022886	Prl2a1
ENSMUSG00000022887	Masp1
ENSMUSG00000022884	Eif4a2
ENSMUSG00000022885	St6gal1
ENSMUSG00000022883	Robo1
MGI:3781362	Gm3183
ENSMUSG00000022881	Rfc4
MGI:92823	D4Mit193
MGI:3650866	Gm13093
MGI:5010499	Gm18314
MGI:92820	D4Mit190
MGI:92827	D4Mit197
MGI:92826	D4Mit196
ENSMUSG00000022889	Mrpl39
MGI:5530675	Mir7029
MGI:1931237	Wwox
MGI:95160	DXMit83
MGI:90099	D14Mit91
MGI:2142920	AA408396
MGI:1918215	Psd3
MGI:3802088	Gm16233
MGI:90091	D14Mit83
MGI:5594226	Gm35067
MGI:4834322	Mir3103
MGI:2687242	Hbnr8
MGI:2687241	Hbnr7
MGI:3584458	Atxn7l1
MGI:4834326	Mir3074-2
MGI:4834327	Mir3108
MGI:4834324	Mir3105
MGI:4834325	Mir3107
MGI:5010498	Gm18313
MGI:4834328	Mir3109
MGI:4834329	Mir3110
MGI:3689540	Wtlr2
ENSMUSG00000031329	Tsx
MGI:1925137	6720454L07Rik
MGI:1350958	DXMgc49
MGI:3512245	Mhstq1
ENSMUSG00000024053	Emilin2
MGI:3644728	Gm7424
MGI:2141748	C79238
MGI:5591966	Gm32807
MGI:3644725	Gm4856
MGI:3644726	Gm7422
MGI:2144518	Stac2
MGI:3644720	Gm16407
MGI:100796	D18Mit180
MGI:3644722	Gm6313
ENSMUSG00000036693	Nop14
MGI:3512246	Mhstq2
ENSMUSG00000065649	Snora74a
ENSMUSG00000036699	Zcchc12
MGI:5010988	Gm18803
MGI:3604972	Abfw6
MGI:1350957	DXMgc50
MGI:5591962	Gm32803
MGI:97374	Npy
MGI:97375	nr
MGI:97376	Nras
MGI:97377	Nras-ps1
ENSMUSG00000039873	Neurl2
MGI:97371	Npr1
MGI:97372	Npr2
MGI:97373	Npr3
MGI:5594224	Gm35065
ENSMUSG00000073968	Trim68
MGI:97378	Nras-ps2
MGI:97379	Slc10a1
MGI:2159674	Vmn1r203
ENSMUSG00000039878	Slc39a5
ENSMUSG00000030935	Acsm3
ENSMUSG00000030934	Oat
MGI:3649264	Gm13333
MGI:1915847	Ccdc167
MGI:3649262	Skint6
MGI:1915841	Mocos
MGI:1915842	Syf2
MGI:1915843	Polrmt
MGI:3644127	Gm6015
MGI:107452	Alcp2
MGI:5624404	Gm41519
MGI:5593078	Gm33919
MGI:1915848	Dnajc8
MGI:3649269	Gm14015
MGI:3644096	Gm4798
MGI:3644097	Gm7684
MGI:3644094	Gm7791
ENSMUSG00000079324	4932414N04Rik
MGI:3652100	Gm13426
MGI:5623990	Gm41105
MGI:3644090	Gm4899
ENSMUSG00000019173	Rab5c
MGI:5594223	Gm35064
MGI:3780572	Gm2404
MGI:5593449	Gm34290
ENSMUSG00000019178	Styxl1
ENSMUSG00000019179	Mdh2
MGI:2664119	Psl4
ENSMUSG00000065640	Snord1c
ENSMUSG00000096467	Scgb2b19
MGI:5011059	Gm18874
ENSMUSG00000036526	Card11
MGI:5624046	Gm41161
MGI:1309478	Baz1a
MGI:3644124	Gm8749
ENSMUSG00000036523	Greb1
MGI:5011050	Gm18865
MGI:5011051	Gm18866
MGI:2685795	Arl14epl
ENSMUSG00000065642	Snora69
ENSMUSG00000036528	Ppfibp2
ENSMUSG00000036529	Sbf1
MGI:5011056	Gm18871
MGI:2685790	Garem
MGI:4413835	n-TQttg1
MGI:3524764	Arigg9
MGI:5624043	Gm41158
MGI:5594222	Gm35063
ENSMUSG00000036707	Cab39
MGI:3524762	Arigg7
MGI:5595095	Gm35936
MGI:3524761	Arigg6
ENSMUSG00000071042	Rasgrp3
MGI:96305	Iac
ENSMUSG00000071047	Ces1a
MGI:5578739	Scgb1b13-ps
MGI:3782633	Gm4449
MGI:5592035	Gm32876
MGI:3028577	Arl5c
MGI:3028576	Dhx37
MGI:5592030	Gm32871
MGI:5592031	Gm32872
MGI:3782635	Gm4451
MGI:3782634	Gm4450
MGI:2159677	Vmn1r217
MGI:5624049	Gm41164
MGI:3782638	Gm4454
MGI:3028579	Rasgrp3
MGI:2676331	Cypt2
MGI:5624048	Gm41163
MGI:97950	Rn7s1
MGI:97951	Rn7s12
MGI:97952	Rn7s13
MGI:97953	Rn7s2
MGI:97954	Rn7s3
MGI:97955	Rn7s5
MGI:97956	Rn7s6
MGI:97957	Rn7s8
MGI:97958	Rn7s9
MGI:97959	Rn7sX
MGI:2444222	Tmem104
MGI:2444223	Serinc5
ENSMUSG00000073573	Spink11
MGI:3802086	Gm16103
MGI:5594220	Gm35061
ENSMUSG00000091601	Olfr93
MGI:5623279	Gm40394
MGI:5623278	Gm40393
MGI:5623277	Gm40392
MGI:5623276	Gm40391
MGI:5623275	Gm40390
MGI:5623274	Gm40389
MGI:5623273	Gm40388
ENSMUSG00000000167	Pih1d2
MGI:5623271	Gm40386
MGI:5623270	Gm40385
MGI:96027	Hbb-y
MGI:96026	Hbb-bh3
MGI:96025	Hbb-bh2
MGI:96024	Hbb-bh1
ENSMUSG00000038580	Sct
MGI:96022	Hbb-b2
MGI:96021	Hbb-b1
ENSMUSG00000038583	Pln
ENSMUSG00000049299	Trappc1
ENSMUSG00000003402	Prkcsh
MGI:2443671	Dlec1
ENSMUSG00000097734	B930082K07Rik
ENSMUSG00000097735	D930032P07Rik
ENSMUSG00000030209	Grin2b
ENSMUSG00000030208	Emp1
MGI:3782981	Gm15532
MGI:3779686	Fbxw23
MGI:3782983	Gm15535
ENSMUSG00000038916	Soga3
ENSMUSG00000030203	Dusp16
ENSMUSG00000030201	Lrp6
ENSMUSG00000030200	Bcl2l14
ENSMUSG00000097738	4930445N18Rik
ENSMUSG00000030206	Gsg1
ENSMUSG00000030205	Gprc5d
ENSMUSG00000030204	Ddx47
MGI:3779688	Gm7166
MGI:1350951	DXMgc56
MGI:3650439	Amd-ps4
MGI:2147351	Me2
ENSMUSG00000109542	Olfr470
MGI:3650435	Gm12687
ENSMUSG00000106379	Lhfpl3
MGI:2686534	A630073D07Rik
MGI:2686532	1700015F17Rik
MGI:3650430	Gm13717
MGI:2686530	Gm1684
ENSMUSG00000035164	Zc3h12c
MGI:1329003	Galr3
MGI:1329005	Slfn3
MGI:1329004	Slfn5
MGI:1329007	Fecq2
MGI:1329006	Fecq1
MGI:5434896	Gm21541
MGI:2138953	Fibcd1
MGI:5521015	Obox4-ps2
MGI:4414098	n-TVcac7
MGI:2443679	Sipa1l1
MGI:1350950	DXMgc57
MGI:4414099	n-TVcac8
MGI:5624972	Gm42087
ENSMUSG00000038058	Nod1
MGI:1923282	5830438M01Rik
ENSMUSG00000038056	Kmt2c
ENSMUSG00000038057	Dbil5
ENSMUSG00000077872	Mir878
ENSMUSG00000038055	Dexi
ENSMUSG00000072487	Mroh5
ENSMUSG00000105234	4930459L07Rik
MGI:5595024	Gm35865
MGI:3715515	Suprmam1
MGI:3531133	Baa1
MGI:3531134	Baa2
MGI:2140303	AI467481
MGI:5579349	Gm28643
MGI:5530673	Mir7022
ENSMUSG00000070880	Gad1
ENSMUSG00000070883	Ccdc173
MGI:3642656	Gm10673
MGI:5623899	Gm41014
MGI:2177488	Olfr105-ps
MGI:2142320	C77717
MGI:2142321	C77798
MGI:5623893	Gm41008
MGI:5623892	Gm41007
MGI:5623891	Gm41006
MGI:5623890	Gm41005
MGI:5590479	Gm31320
MGI:4414090	n-TVaac7
MGI:2142328	C78806
MGI:2142329	C78948
MGI:3641631	Gm9912
ENSMUSG00000073684	Faap20
ENSMUSG00000022309	Angpt1
ENSMUSG00000049300	Prmt6
ENSMUSG00000073680	Tmem88b
ENSMUSG00000022305	Lrp12
ENSMUSG00000022304	Dpys
ENSMUSG00000022307	Oxr1
ENSMUSG00000022306	Zfpm2
MGI:2142070	AI854308
ENSMUSG00000022303	Dcstamp
ENSMUSG00000076062	Mir92-1
MGI:2177483	Olfr100
MGI:3619400	Mir412
MGI:2177482	Olfr99
MGI:3651928	Gm11260
MGI:5621741	Gm38856
MGI:1921877	4930413E15Rik
MGI:4414095	n-TVcac4
MGI:5622136	Gm39251
MGI:3650213	Gm12734
MGI:2142077	Trim68
MGI:4356345	Gm16514
MGI:5594082	Gm34923
MGI:1923263	5830407E08Rik
MGI:1923262	5830415B17Rik
MGI:5562764	Mir7021
MGI:1923264	Zc3h18
MGI:1923267	5830411K02Rik
MGI:1923266	5730406G12Rik
ENSMUSG00000035186	Ubd
MGI:5594089	Gm34930
MGI:2142075	Nars2
ENSMUSG00000035183	Slc24a5
ENSMUSG00000035181	Heatr5a
MGI:2177486	Olfr103
ENSMUSG00000069089	Cdk7
ENSMUSG00000063179	Pstk
ENSMUSG00000024395	Lims2
MGI:2146001	Ccdc65
ENSMUSG00000069080	Lcn11
ENSMUSG00000024981	Acsl5
MGI:2146005	Mtbp
MGI:1336162	Klrc2
MGI:2154471	T(2;10)67Gso
MGI:1336161	Klrc1
MGI:1336166	Cflar
MGI:1336167	Prkab1
MGI:1336164	Gng2-ps1
ENSMUSG00000034587	8430429K09Rik
MGI:3780806	Gm2638
MGI:1341124	199O21-T7
MGI:1336168	Cradd
MGI:1336169	Gng10
ENSMUSG00000043605	Olfr13
MGI:3780803	Gm2635
ENSMUSG00000048655	Ccdc169
ENSMUSG00000046230	Vps13a
MGI:5623784	Gm40899
ENSMUSG00000097113	Gm19705
ENSMUSG00000037075	Rnf139
MGI:2156184	Kcnh4
ENSMUSG00000097115	1810019N24Rik
MGI:5594106	Gm34947
MGI:1891407	Snord116
MGI:2142581	Whsc1l1
MGI:5624409	Gm41524
ENSMUSG00000101941	Gm28979
MGI:3645137	Gm7536
MGI:2446175	Spryd3
MGI:2446176	Eif2b5
MGI:3574853	Eamcd2
MGI:3645134	Cd9-ps
MGI:2446173	Farp1
MGI:2385205	Ipo13
MGI:4438400	Vmn1r2
MGI:3645132	Gm9249
ENSMUSG00000045767	B230219D22Rik
ENSMUSG00000004994	Ccdc130
ENSMUSG00000045761	Fam179a
ENSMUSG00000045763	Basp1
ENSMUSG00000025652	Tmem89
MGI:1921788	9030409K20Rik
ENSMUSG00000025650	Col7a1
ENSMUSG00000025651	Uqcrc1
ENSMUSG00000025656	Arhgef9
MGI:3645130	Gm9252
MGI:5011374	Gm19189
MGI:1921789	9030425L15Rik
MGI:5593855	Gm34696
MGI:5588885	Gm29726
ENSMUSG00000025658	Cnksr2
MGI:3701958	Gm13179
MGI:3713490	Rhox2h
MGI:3651924	Gm13536
ENSMUSG00000021143	Pacs2
ENSMUSG00000021140	Pcnx
MGI:3647025	Rps12-ps23
MGI:2159679	Vmn1r222
ENSMUSG00000021147	Wdr37
ENSMUSG00000021144	Mta1
MGI:3701956	Gm14232
ENSMUSG00000085580	1700061F12Rik
MGI:2146912	Vmac
MGI:5589506	Gm30347
ENSMUSG00000021149	Gtpbp4
MGI:5562760	Mir873b
MGI:5589501	Gm30342
MGI:5589503	Gm30344
ENSMUSG00000071860	2900055J20Rik
MGI:3705659	Gm14728
ENSMUSG00000071862	Lrrtm2
MGI:3646851	Gm7748
MGI:3705655	Gm15314
MGI:3705656	Gm14615
MGI:3648037	Gm7654
MGI:3705650	Gm14826
MGI:3646852	Gm8836
MGI:3705652	Spin2-ps2
MGI:3648038	Rpl19-ps3
MGI:3852488	Vmn1r-ps148
MGI:3646853	Trim5
MGI:3645138	Gm5234
MGI:2145588	AA986715
MGI:3646854	Gm8832
MGI:5594105	Gm34946
MGI:3701774	Gm11213
MGI:2145581	B130052P14Rik
ENSMUSG00000082932	Cyp2j8
MGI:104129	Rb(12.13)15Tu
MGI:104128	Rb(12.13)3Ct
MGI:104123	T(11;19)42H
MGI:104122	T(11;19)42H
MGI:104121	T(11;17)202Dn
MGI:104120	T(11;17)202Dn
MGI:104127	Rb(12.13)3Ct
ENSMUSG00000007877	Tcap
MGI:104125	Dp(12)9H
MGI:104124	Dp(12)7H
MGI:109335	Spam1
MGI:109334	Irs2
MGI:109337	Brca2
MGI:109336	Etv6
MGI:109331	Nxn
MGI:109330	Prop1
ENSMUSG00000087437	LOC102634887
MGI:3604741	Mfiq3
MGI:2444763	Zfp418
MGI:5579644	Gm28938
MGI:109339	Eya3
MGI:109338	Rap1gap
MGI:2444764	Zfp780b
ENSMUSG00000024013	Fgd2
ENSMUSG00000024012	Mtch1
ENSMUSG00000024011	Pi16
ENSMUSG00000044499	Hs3st5
ENSMUSG00000074336	Apoc4
MGI:2442080	Rapgef4os3
MGI:2442082	Tmem30b
ENSMUSG00000024018	Ccdc167
MGI:2442084	9330199G10Rik
MGI:2442085	A930002C04Rik
MGI:2442086	Trerf1
MGI:2442087	Ppm1h
MGI:5589650	Gm30491
MGI:4439856	Ighv3-6
ENSMUSG00000050600	Zfp831
MGI:3781191	Gm3013
MGI:5589432	Gm30273
MGI:2443933	D930017J03Rik
MGI:2443932	E330035G20Rik
MGI:2443930	Lcor
ENSMUSG00000097402	Gm17399
ENSMUSG00000042265	Trem1
MGI:2443935	Snapc4
MGI:2443934	Zfp799
ENSMUSG00000042268	Slc26a9
ENSMUSG00000042269	Fam92b
MGI:2443939	Cenpt
MGI:2443938	Mmp25
MGI:3644982	Gm5067
MGI:4439852	Traj46
MGI:1919831	Edrf1
MGI:1919830	Zufsp
MGI:2144987	AV259865
MGI:1919835	Lypd1
MGI:1919834	Cul4b
MGI:1919837	Pan3
ENSMUSG00000020423	Btg2
MGI:1919838	2700012I20Rik
MGI:2441689	4931440F15Rik
MGI:5589657	Gm30498
MGI:2144989	Plekhh1
MGI:3644985	Nsa2-ps2
MGI:2442333	Celf5
MGI:3528588	Rnase12
MGI:2442336	9630002A11Rik
MGI:2442337	9930031P18Rik
MGI:2442334	Kirrel2
MGI:3629908	Mir683-1
MGI:3528583	Rnase11
ENSMUSG00000085980	Gm12408
MGI:2442338	Zfp608
MGI:2148252	2610305D13Rik
MGI:3619324	Mir301
ENSMUSG00000044147	Arf6
ENSMUSG00000044145	1810024B03Rik
ENSMUSG00000044141	E130201H02Rik
MGI:5592659	Gm33500
MGI:5011372	Gm19187
MGI:5591519	Gm32360
ENSMUSG00000044149	Nkrf
ENSMUSG00000044148	1810030O07Rik
MGI:2443685	5830411N06Rik
MGI:2443687	Arhgap25
MGI:2443686	Rtbdn
MGI:2443683	A430108C13Rik
ENSMUSG00000085394	2210414B05Rik
MGI:2443689	A330043J11Rik
ENSMUSG00000098188	Sowahc
MGI:5592761	Gm33602
MGI:1924443	A930030B08Rik
MGI:5595608	Gm36449
MGI:102408	D17Mit226
MGI:3034839	AL117801
MGI:5621886	Gm39001
ENSMUSG00000041515	Irf8
MGI:102405	D17Mit223
MGI:102402	D16Mit204
MGI:102403	D16Mit205
MGI:102400	D16Mit202
MGI:5593810	Gm34651
MGI:3649708	Gm12755
MGI:2653464	Chol8
MGI:3650659	Gm11627
MGI:3649705	Gm11266
MGI:3649704	Gm14024
MGI:3649706	Gm12757
MGI:3649701	Gm13347
MGI:2655574	Ostm1
MGI:3649702	Gm14290
MGI:3646821	Vmn1r155
ENSMUSG00000083674	Gm38402,Zfp133-ps
MGI:3779589	Gm6390
MGI:3646825	Rpl21-ps4
MGI:3646824	Rpl19-ps4
MGI:3646827	Rps6-ps2
MGI:3646826	Vmn2r23
MGI:3646829	Teddm1b
MGI:3646828	Gm5532
ENSMUSG00000045996	Polr2k
MGI:3779587	Gm6370
MGI:3779586	Gm6344
MGI:3779585	Rps7-ps1
MGI:3779584	Gm6297
ENSMUSG00000001823	Hoxd12
MGI:1930270	Tnfrsf22
ENSMUSG00000001827	Folr1
ENSMUSG00000001829	Clpb
MGI:5594552	Gm35393
MGI:3651809	Gm11525
MGI:5592763	Gm33604
ENSMUSG00000097056	Gm4262
ENSMUSG00000088248	Mir1969
MGI:5590351	Gm31192
ENSMUSG00000047492	Inhbe
MGI:1099456	DXMgc7
MGI:1352681	Olfr155
MGI:1352683	Olfr156
MGI:5596011	Gm36852
MGI:1352685	Olfr29-ps1
MGI:1352684	Olfr157
MGI:5434659	Gm21304
MGI:1352686	Olfr159
MGI:5434657	Gm21302
MGI:3041232	E430016F16Rik
MGI:5596018	Gm36859
MGI:5596019	Gm36860
MGI:5434652	Gm21297
ENSMUSG00000047495	Dlgap2
MGI:5625294	Gm42409
ENSMUSG00000005566	Trim28
ENSMUSG00000047496	Rnf152
MGI:5594028	Gm34869
MGI:3036186	Skmw5
ENSMUSG00000097404	Gm10814
ENSMUSG00000047497	Adamts12
MGI:5011067	Gm18882
MGI:5625292	Gm42407
MGI:1919166	Dus4l
MGI:1919165	2310058F05Rik
MGI:1919164	Antxr2
MGI:1919163	Tmem79
ENSMUSG00000040649	Rimklb
MGI:1919161	Bdh1
MGI:1919160	Plpp5
ENSMUSG00000059791	Nrm
ENSMUSG00000040640	Erc2
ENSMUSG00000059796	Eif4a1
MGI:1919168	Zcchc24
MGI:3651955	Gm13700
ENSMUSG00000051147	Nat2
ENSMUSG00000051146	Camk2n2
MGI:5590357	Gm31198
ENSMUSG00000022483	Col2a1
MGI:97037	mn
MGI:97036	Mmv9
MGI:97035	Mmv8
ENSMUSG00000027091	Zc3h15
ENSMUSG00000051149	Adnp
MGI:97032	Mmv5
MGI:97031	Mmv4
MGI:97030	Mmv3
MGI:3646693	Gm8319
MGI:5141978	Gm20513
MGI:5593195	Gm34036
MGI:3604979	Knyw3
ENSMUSG00000063823	Olfr532
MGI:5011378	Gm19193
ENSMUSG00000022487	Gtsf1
MGI:5434993	Gm21638
ENSMUSG00000000889	Dbh
ENSMUSG00000050174	Nudt6
MGI:3576865	Lith15
ENSMUSG00000063176	Olfr955
MGI:4937016	Gm17382
MGI:5011233	Gm19048
ENSMUSG00000000881	Dlg3
ENSMUSG00000000884	Gnb1l
MGI:3782217	Gm4042
MGI:3762327	Ity2b
MGI:3762326	Ity2a
MGI:5623862	Gm40977
MGI:5591085	Gm31926
MGI:3655633	Raml4
MGI:4413864	n-TGccc3
