RNF14	Rnf14
ACTL7A	Actl7a
ZSCAN12	Zscan12
RNU617P	Gm22443,Gm22638,Gm23307,Gm24797,Gm25286,Gm25671
ETNK2	Etnk2
ETNK1	Etnk1
CLIP4	Clip4
HEXDC	Hexdc
ERMARD	Ermard
DHRS7B	Dhrs7b
AP3B1	Ap3b1
CD48	Cd48
MND1	Mnd1
CD44	Cd44
CD47	Cd47
CA14	Car14
CA13	Car13
CA12	Car12
CA11	Car11
CA10	Car10
HIKESHI	l7Rn6
FPGT	Fpgt
FGFR1OP	Fgfr1op
VMA21	Vma21,Vma21-ps
PDX1	Pdx1
PPP2R5E	Ppp2r5e
MAF1	Maf1
RAB20	Rab20
CALY	Caly
EIF4E3	Eif4e3
EIF4E2	Eif4e2
RAB24	Rab24
RAB25	Rab25
RAB26	Rab26
GSTT2B	Gstt2
GLRA3	Glra3
GLRA2	Glra2
CALR	Calr
DZIP1L	Dzip1l
ASAH2B	Asah2
GLRA4	Glra4
WDR78	Wdr78
RNU681P	Gm22540,Gm23590
FAR1	Far1
ACTR1B	Actr1b
ACTR1A	Actr1a
FAR2	Far2
WDR70	Wdr70
WDR73	Wdr73
CHPF	Chpf
WDR75	Wdr75
WDR74	RP23-62O7.9,Wdr74
WDR77	Wdr77
WDR76	Wdr76
WNT3A	Wnt3a
LINC00890	A730046J19Rik
COL23A1	Col23a1
TRHDE	Trhde
SYT15	Syt15
AGMO	Agmo
NTAN1	Ntan1
PPP2R3A	Ppp2r3a
NQO2	Nqo2
CDO1	Cdo1
RIBC1	Ribc1
NQO1	Nqo1
PRPF8	Prpf8
RNU149P	Gm23497,Gm24671
RGS11	Rgs11
CTD2501B81	Ace3
NID2	Nid2
PRPF3	Prpf3
TINF2	Tinf2
PRPF4	Prpf4
PRPF6	Prpf6
ILF3	Ilf3
RNA5S13	Rn5s
FILIP1L	Filip1l
RN7SL546P	Gm27853
U6ATAC	Gm25338,Gm26249
CD177	Cd177
RNU6268P	Gm25008
PCF11	Pcf11
RFC5	Rfc5
SNORD81	Gm25789,Gm25802
CLEC1A	Clec1a
CLEC1B	Clec1b
ZFHX4	Zfhx4
RNA5SP25	n-R5s97
ZFP64	Zfp64
OGT	Ogt
ZFP62	Zfp62
PIP4K2C	Pip4k2c
PIP4K2B	Pip4k2b
HMGA1	Hmga1,Hmga1-rs1
ZIC5	Zic5
C5ORF15	9530068E07Rik
NPL	Npl
ARL14EP	Arl14ep
RFFL	Rffl
LEFTY2	Lefty1,Lefty2
MIAT_EXON5_1	Gm27627
MIAT_EXON5_2	Gm27882
CTB60B186	Lhb
ARRDC4	Arrdc4
ARRDC5	Arrdc5
ZWINT	Zwint
ARRDC1	Arrdc1
ARRDC2	Arrdc2
ARRDC3	Arrdc3
ZFHX2	Zfhx2
TTI2	Tti2
FAM45A	Fam45a
C1ORF127	Gm572
RAB27B	Rab27b
ZIC2	Zic2
C1ORF122	1110065P20Rik
C1ORF123	0610037L13Rik
KIAA0930	5031439G07Rik
SH3BP5	Sh3bp5
CSAD	Csad
RABGAP1L	Rabgap1l
TSSC1	Tssc1
ELK3	Elk3
CDON	Cdon
ELK1	Elk1
GPHB5	Gphb5
ELK4	Elk4
PAK4	Pak4
PAK5	Pak7
PAK6	Pak6
PAK1	Pak1
PAK2	Pak2
KIF11	Kif11
FAM122A	Fam122a
FAM122B	Fam122b
SH3BP2	Sh3bp2
NSDHL	Nsdhl
KCNG1	Kcng1
KCNG2	Kcng2
KCNG3	Kcng3
KCNG4	Kcng4
NUBPL	Nubpl
TMCO1	Tmco1
KRT19	Krt19
PANX1	Panx1
MYL1	Myl1
TMEM255B	Tmem255b
OR4C16	Olfr1195,Olfr1199,Olfr1209
OR4C11	Olfr1201,Olfr1205,Olfr1206
CEP97	Cep97
OR4C13	Olfr1258
CEP95	Cep95
DEFB116	Defb29
DEFB115	Defb28
DEFB113	Defb18
CYP2D6	Cyp2d10,Cyp2d11,Cyp2d12,Cyp2d22,Cyp2d26,Cyp2d34,Cyp2d40,Cyp2d9
CYP2D7	Cyp2d10,Cyp2d11,Cyp2d12,Cyp2d22,Cyp2d26,Cyp2d34,Cyp2d40,Cyp2d9
RPRM	Rprm
PIGG	Pigg
MFSD2A	Mfsd2a
DEFB118	Defb21
ATXN7L2	Atxn7l2
DMBT1	Dmbt1
AXDND1	Axdnd1
PRKG1	Prkg1
ATXN7L1	Atxn7l1
KAT14	Csrp2bp
LCN12	Lcn12
TNS3	Tns3
NPY	Npy
TNS1	Tns1
FMR1AS1_2	Gm27838
TNS4	Tns4
HEXA	Hexa
ZBTB12	Zbtb12
ARID2	Arid2
NAXE	Apoa1bp
NAXD	Carkd
RNU6255P	Gm23622,Gm24851
PMEPA1	Pmepa1
OR8D4	Olfr985
OR4B1	Olfr1270
NT5DC1	Nt5dc1
NLRP6	Nlrp6
OR8D1	Olfr26,Olfr930,Olfr933
OR8D2	Olfr924,Olfr926
RBMY1E	Gm10256,Gm10352,Gm21677,Gm21693,Gm21704,Gm21708,Gm29289,Gm3376,Gm4064,Rbmy
ARGLU1	Arglu1
NLRP1	Nlrp1a,Nlrp1b
RNU1104P	Gm23470,Gm25587
UROS	Uros
ZNF775	Zfp775
NLRP3	Nlrp3
RNU61099P	Gm25578
CALML3	Calml3
CD164L2	Cd164l2
NLRP2	Nlrp2
GLYCTK	Glyctk
DHX40	Dhx40
CALML5	Calm4,Calm5
CALML4	Calml4
COX18	Cox18
COX19	Cox19
PFN2	Pfn2
NUBP1	Nubp1
PFN4	Pfn4
CREM	Crem
SHISA2	Shisa2
SHISA3	Shisa3
COX10	Cox10
COX11	Cox11
TMEM219	Tmem219
GAS2	Gas2
COX14	Cox14
COX15	Cox15
COX16	Cox16
COX17	Cox17,Gm21987
PDGFRB	Pdgfrb
ANKRD13D	Ankrd13d
RGS19	Rgs19
ANKRD13B	Ankrd13b
ANKRD13C	Ankrd13c
ANKRD13A	Ankrd13a
RNU61176P	Gm26091
TRGV11	Gm16602,Tcrg-V3,Tcrg-V4,Trgv2
AIDA	Aida
TIMM8B	Timm8b
KIAA1462	9430020K01Rik
SCN10A	Scn10a
PDGFRL	Pdgfrl
FBXW11	Fbxw11
PPA2	Ppa2
PPA1	Ppa1
MCTP1	Mctp1
MCTP2	Mctp2
RAB19	Rab19
BET1	Bet1
NUP62	Nup62
C6ORF201	4933417A18Rik
C6ORF203	1700021F05Rik
OR2Y1	Olfr10,Olfr1385,Olfr1386,Olfr1388,Olfr1389,Olfr1391,Olfr1392,Olfr1393
ALCAM	Alcam
TPM4	Tpm4
CSF1R	Csf1r
TPM2	Tpm2
TPM1	Tpm1
ETF1	Etf1
FBXW9	Fbxw9
CCPG1	Ccpg1
FAM21C	Fam21
FAM21A	Fam21
SIPA1	Sipa1
FOXB1	Foxb1
FBXW2	Fbxw2
RMND1	Rmnd1
FBXW4	Fbxw4
CA7	Car7
FBXW7	Fbxw7
CDCP1	Cdcp1
CCDC178	Ccdc178
PLPP3	Plpp3
CDCP2	Cdcp2
PLPP5	Plpp5
PLPP4	Plpp4
PLPP7	Plpp7
PLPP6	Plpp6
FAM159B	Fam159b
SRPX2	Srpx2
ZNF48	Zfp553
FAM159A	Fam159a
SSX2IP	Ssx2ip
BLOC1S5TXNDC5	Bloc1s5
TMEM173	Tmem173
ANKLE2	Ankle2
PCIF1	Pcif1
RAB10	Rab10
OR2AJ1	Olfr169,Olfr170,Olfr171
RNU6360P	Gm23792
TJP2	Tjp2
TJP3	Tjp3
PRADC1	Pradc1
NDOR1	Ndor1
PPAN	Ppan
PPP1CA	Ppp1ca
OR7A5	Olfr19
SH3GLB1	Sh3glb1
RAB14	Rab14
SRRM1	Srrm1
PPAT	Ppat
BABAM1	Babam1
GKAP1	Gkap1
SH3PXD2B	Sh3pxd2b
SNORD88A	Gm25809,Snord88a,Snord88c
SNORD88B	Gm23991
SH3PXD2A	Sh3pxd2a
SRRM3	Srrm3
RNA5SP401	Gm23899
LYSMD3	Lysmd3
SRRM2	Srrm2
KLHL11	Klhl11
DCXR	Dcxr
CHPF2	Chpf2
KLHL12	Klhl12
AGRP	Agrp
SRRM4	Srrm4
AGRN	Agrn
C4ORF51	1700011L22Rik
CLGN	Clgn
SELENBP1	Selenbp1,Selenbp2
RABL6	Rabl6
SMARCA1	Smarca1
SMARCA2	Smarca2
MCOLN1	Mcoln1
OR2W1	Olfr1369-ps1,Olfr263
POMZP3	Zp3
FYB	Fyb
SYCN	Sycn
GOLGA6L9	Golga2
GOLGA6L4	Golga2
PACRGL	5730480H06Rik
GOLGA6L6	Golga2
LYSMD4	Lysmd4
FYN	Fyn
GOLGA6L1	Golga2
GOLGA6L2	Golga2
RAB1A	Rab1a
TOR1A	Tor1a
PKHD1L1	Pkhd1l1
ASCL3	Ascl3
OST4	Ost4
SNOZ6	Gm22394,Gm22871
PAF1	Paf1
CCT6B	Cct6b
OSTN	Ostn
GPHA2	Gpha2
SNORA36A	Gm26225
RUFY1	Rufy1
RUFY3	Rufy3
RUFY2	Rufy2
AC0045561	Mrpl23
FCGR2C	Fcgr2b,Fcgr3
FCGR2A	Fcgr2b,Fcgr3
NLE1	Nle1
CYP11A1	Cyp11a1
SKIL	Skil
ZNF579	Zfp579
CYTH1	Cyth1
GCGR	Gcgr
CYTH3	Cyth3
SPATA32	Spata32
QSOX1	Qsox1
CYTH4	Cyth4
MYBPH	Mybph
DPH1	Dph1
DPH2	Dph2
DPH3	Dph3
MYH7B	Myh7b
DPH5	Dph5
DPH6	Dph6
DPH7	Dph7
MUM1L1	Mum1l1
TCF15	Tcf15
CALCR	Calcr
PSAPL1	Psapl1
AGR2	Agr2
AGR3	Agr3
THEGL	Thegl
SLC15A5	Slc15a5
CANT1	Cant1
CALCA	Calca
CALCB	Calcb
OR13A1	Olfr211
RN7SL567P	Gm27853
RNU6922P	Gm24668
CKB	Ckb
CKM	Ckm
RN7SL221P	Gm27853
TIGAR	Tigar
PTGS1	Ptgs1
SLFN12	Slfn1,Slfn2,Slfn3,Slfn4
RNA5SP256	Gm23023
RP13210D159	Etd
TRIM60	Trim60
TM2D3	Tm2d3
SLK	Slk
PAH	Pah
OR51B4	Olfr66
OR51B6	Olfr623,Olfr65
PAM	Pam
DCN	Dcn
RNA5SP154	Gm25329
GPAM	Gpam
RNA5SP152	n-R5s162
DCK	Dck
RNA5SP151	Gm22731,n-R5s63
ACSM1	Acsm1
ACSM3	Acsm3
ACSM5	Acsm5
ACSM4	Acsm4
NDC1	Ndc1
RNA5SP159	Gm24690
SDF4	Sdf4
TAF4B	Taf4b
PERP	Perp
CUL9	Cul9
DCX	Dcx
EIF4ENIF1	Eif4enif1
CUL5	Cul5
DCT	Dct
CUL7	Cul7
CUL1	Cul1
CUL2	Cul2
CUL3	Cul3
TMEM42	Tmem42
SSPO	Sspo
SLC26A10	Slc26a10
TRIM28	Trim28
TRIM29	Trim29
PNKP	Pnkp
CDH20	Cdh20
TRIM25	Trim25
CREB5	9430076C15Rik
CDH23	Cdh23
CDH24	Cdh24
TDRKH	Tdrkh
CREB1	Creb1
TRIM23	Trim23
FLRT1	Flrt1
PER2	Per2
FLRT3	Flrt3
FLRT2	Flrt2
SRP9	Srp9
GNPAT	Gnpat
TRPT1	Trpt1
KAT8	Kat8
RNU6940P	Gm23137,Gm23151
KYAT3	Kyat3
FCER2	Fcer2a
VTA1	Vta1
KAT5	Kat5
ARCN1	Arcn1
KAT7	Kat7
F2R	F2r
IHH	Ihh
SENP3EIF4A1	Senp3
PPDPF	Ppdpf
ZFAND3	Zfand3
NSMAF	Nsmaf
GDF10	Gdf10
RNU6375P	Gm23468
PUS7L	Pus7l
AES	Aes
PNRC1	Pnrc1
PNRC2	Pnrc2
DNAJC28	Dnajc28
DNAJC27	Dnajc27
GNAO1	Gnao1
MROH2B	Mroh2b
DNAJC24	Dnajc24
NTSR2	Ntsr2
DNAJC22	Dnajc22
C11ORF24	1810055G02Rik
NTSR1	Ntsr1
DTD1	Dtd1
ABC1347488600E171	1700029H14Rik
TECTB	Tectb
ARHGAP8	Arhgap8
ARHGAP9	Arhgap9
TUBAL3	Tubal3
ARHGAP4	Arhgap4
ARHGAP5	Arhgap5
ARHGAP6	Arhgap6
ICOSLG	Icosl
LINC00935	4930415O20Rik
ARHGAP1	Arhgap1
AEN	Aen
FAM196B	Fam196b
FAM196A	Fam196a
RNU6605P	Gm26127
RNU6212P	Gm24086
TSPYL2	Tspyl2
PRLR	Gm21973,Prlr
KHDC1L	Khdc1a,Khdc1b,Khdc1c
HSPE1MOB4	Mob4
GSAP	Gsap
RIDA	Rida
TMEM79	Tmem79
OR4D10	Olfr1424,Olfr1425,Olfr1426
OR4D11	Olfr1423
PPP6C	Ppp6c
ZYX	Zyx
ANXA11	Anxa11
ANXA10	Anxa10
ANXA13	Anxa13
TMEM74	Tmem74
KCNQ4	Kcnq4
RBL2	Rbl2
SLC39A12	Slc39a12
WBSCR17	Wbscr17
SLC39A13	Slc39a13
UBR1	Ubr1
SLA	Sla
HSPA4L	Hspa4l
HEMGN	Hemgn
MRPL4	Mrpl4
MRPL2	Mrpl2
MRPL3	Mrpl3
RPUSD2	Rpusd2
MRPL1	Mrpl1
TTLL8	Ttll8
ZFAT	Zfat
MRPL9	Mrpl9
HOXC11	Hoxc11
RUVBL1	Gm3086,Ruvbl1
VEGFD	Vegfd
MOS	Mos
ZNF618	Zfp618
TARS	Tars
SLC3A1	Slc3a1
RN7SL292P	Gm27853
MOK	Mok
B4GAT1	B4gat1
EIF4EBP1	Eif4ebp1
RNU6633P	Gm25812
EIF4EBP3	Eif4ebp3
ASPRV1	Asprv1
EDDM3A	Eddm3b
MS4A12	Ms4a12
EDDM3B	Eddm3b
MOG	Mog
MS4A15	Ms4a15
BAG2	Bag2
BAG3	Bag3
BAG1	Bag1
BAG6	Bag6
OR1L8	Olfr355
BAG4	Bag4
BAG5	Bag5
KMO	Kmo
OR1L4	Olfr364-ps1,Olfr365
OR1L6	Olfr364-ps1,Olfr365
MSRB1	Msrb1
RTKN	Rtkn
MSRB3	Msrb3
CTDP1	Ctdp1
RNU434P	Gm25366
NTRK3	Ntrk3
CD79B	Cd79b
MEOX1	Meox1
MEOX2	Meox2
CD79A	Cd79a
CSDC2	Csdc2
EIF1AD	Eif1ad
ATXN1L	Atxn1l
RNU61148P	Gm22452
GMFG	Gmfg
CBLN4	Cbln4
CBLN2	Cbln2
CBLN3	Cbln3
CBLN1	Cbln1
ZBTB26	Zbtb26
CYB561A3	Cyb561a3
XIRP2	Xirp2
RNU61137P	Gm25522,Gm25964
RNU6841P	Gm24661
OR5G3	Olfr151
PDHA2	Pdha2
CPSF3L	Cpsf3l
PDHA1	Pdha1
COL4A3BP	Col4a3bp
SAP18	Sap18,Sap18b
RGSL1	Rgsl1
ZDHHC3	Zdhhc3
ARHGAP24	Arhgap24
TCAF1	Tcaf1
RNU643P	Gm24927
TCF19	Tcf19
KDF1	Kdf1
RN7SL384P	Gm27853
ATXN10	Atxn10
RP3461F173	Emg1
FSCN3	Fscn3
FSCN2	Fscn2
FSCN1	Fscn1
SLPI	Slpi
MRPS17	Mrps17
MYL12B	Myl12b
MYL12A	Myl12a
AIM1L	Aim1l
CKMT2	Ckmt2
PLLP	Pllp
SNORD65	Snord65
RNU61138P	Gm22502
TBX6	Tbx6
RNU61115P	Gm26101
MRPS14	Mrps14
RFPL4A	Rfpl4
RILPL1	Rilpl1
OR2T35	Olfr721-ps1
RILPL2	Rilpl2
MRPS12	Mrps12
IDO2	Ido2
TMPO	Tmpo
IDO1	Ido1
CAMK1D	Camk1d
CAMK1G	Camk1g
NLRP12	Nlrp12
LDHAL6B	Ldhal6b
ECM2	Ecm2
ECM1	Ecm1
SMCR8	Smcr8
HHAT	Hhat
OR52D1	Olfr646
C16ORF45	2900011O08Rik
MICALCL	Micalcl
C16ORF46	1700030J22Rik
LYPD6	Lypd6
RAB3IL1	Rab3il1
LYPD4	Lypd4
LYPD5	Lypd5
LYPD2	Lypd2
LYPD3	Lypd3
PRDM9	Prdm9
LYPD1	Lypd1
CATSPER4	Catsper4
CALCOCO1	Calcoco1
CALCOCO2	Calcoco2
AMHR2	Amhr2
NAP1L4	Nap1l4
CATSPER1	Catsper1
CATSPER2	Catsper2
CATSPER3	Catsper3
ANKRD30A	Ankrd26
RGS5	Rgs5
RGS6	Rgs6
ANKRD30B	Ankrd26
IGKV2D30	Igkv1-131,Igkv1-132,Igkv1-133,Igkv1-135,Igkv1-35
RGS1	Rgs1
RGS2	Rgs2
RGS3	Rgs3
RNU61042P	Gm26062
PLAG1	Plag1
RGS9	Rgs9
RNA5SP383	Gm25885
APMAP	Apmap
PGLYRP4	Pglyrp4
PEAK1	Peak1
RNU6994P	Gm23853
RNU5F4P	Gm23102
RP112C249	Gm42715,Srcap
LOXL3	Loxl3
C9ORF153	4921517D22Rik
C9ORF152	D630039A03Rik
IL1RAP	Il1rap
CATSPERD	Catsperd
SERTAD4	Sertad4
CATSPERG	Catsperg1,Catsperg2
CATSPERB	Catsperb
ARAP2	Arap2
AC0047543	Fam234a
FSD1L	Fsd1l
PPP6R1	Ppp6r1
SH2B2	Sh2b2
NAB1	Nab1
XIAP	Xiap
C2ORF81	1700003E16Rik
C2ORF80	D630023F18Rik,Gm28845
KANK4	Kank4
C2ORF82	3110079O15Rik
KANK2	Kank2
KANK3	Kank3
RDH12	Rdh12
KANK1	Kank1
SLC25A34	Slc25a34
C2ORF88	1700019D03Rik
NAB2	Nab2
DEDD2	Dedd2
FAM178B	Fam178b
DOLK	Dolk
MYH10	Myh10
MGARP	Mgarp
RNA5SP248	n-R5s47
UBR3	Ubr3
SNORA2C	Snora34
RN7SL169P	Gm27853
POLD4	Pold4
GADD45A	Gadd45a
ZDHHC8	Zdhhc8
TARSL2	Tarsl2
CDK2AP1	Cdk2ap1,Gm12184
CDK2AP2	Cdk2ap2
NALCN	Nalcn
UBR7	Ubr7
CIAPIN1	Ciapin1
HSP90AB1	Hsp90ab1
VPS29	Vps29
PTP4A1	Ptp4a1
UBR5	Ubr5
PTP4A3	Ptp4a3
PTP4A2	Ptp4a2
VIPR2	Vipr2
ZSCAN26	Zscan26
NUCB2	Nucb2
RNU6465P	Gm22458
ZSCAN21	Zscan21
RNU615P	Gm22633,Gm24508,Gm25698
GPR3	Gpr3
TDRD9	Tdrd9
CD28	Cd28
SETD1A	Setd1a
SUZ12	Suz12
MRPS9	Mrps9
MRPS7	Mrps7
CD22	Cd22
MRPS5	Mrps5
IFI35	Ifi35
CD27	Cd27
GPR1	Gpr1
IFI30	Ifi30
CD24	Cd24a
UNC5B	Unc5b
ABHD8	Abhd8
SNORA63	Gm22864,Gm24201,Gm26447
MYLIP	Mylip
OTUD1	Otud1
ABHD2	Abhd2
ABHD3	Abhd3
ABHD6	Abhd6
PA2G4	Pa2g4
ABHD4	Abhd4
ABHD5	Abhd5
TWF1	Twf1
NKIRAS2	Nkiras2
NKIRAS1	Nkiras1
HEMK1	Hemk1
MBTPS2	Mbtps2
TMA16	Tma16
TRIM45	Trim45
MBTPS1	Mbtps1
EIF4G3	Eif4g3
EIF4G2	Eif4g2
EIF4G1	Eif4g1
BATF3	Batf3
SERHL2	Serhl
WDR59	Wdr59
FAT3	Fat3
FAT2	Fat2
CFAP100	Cfap100
GRB2	Grb2
METAZOA_SRP	Gm22642,Gm22662,Gm22906,Gm22993,Gm23563,Gm24105,Gm24514,Gm24576,Gm24809,Gm25072,Gm25574,Gm25735,Gm27316,Gm27651,Gm27826,Gm27853,Gm27854,Gm27896,Gm27956,Rn7s1,Rn7s2
GRB7	Grb7
FAT4	Fat4
PSG6	Ceacam1,Ceacam2
PSG7	Ceacam1,Ceacam2
PSG4	Ceacam1,Ceacam2
PSG5	Ceacam1,Ceacam2
PSG2	Ceacam1,Ceacam2
PSG3	Ceacam1,Ceacam2
UQCC3	Uqcc3
PSG1	Ceacam1,Ceacam2
HOXC9	Hoxc9
HOXC8	Hoxc8
RP11529K13	Ddx19b
HOXC5	Hoxc5
HOXC4	Hoxc4
SLC25A33	Slc25a33
HOXC6	Hoxc6
CD151	Cd151
C10ORF67	4921504E06Rik
RNA5SP367	n-R5s198,n-R5s217
HCST	Hcst
C10ORF62	4933411K16Rik
LSM8	Lsm8
GOLGA8R	Golga2
OR4F3	Olfr1303
OR4F6	Olfr1310
UROC1	Uroc1
OR4F4	Olfr1289,Olfr1293-ps
OR4F5	Olfr1289,Olfr1293-ps
SNORA41	Gm23723,Snora41
RNU61211P	Gm22364,Gm26227
SLC25A32	Slc25a32
AL0498291	Slc22a17
HTRA1	Htra1
MFSD1	Mfsd1
COL27A1	Col27a1
RNU6ATAC28P	Gm24922
ZSCAN5C	Zscan5b
RBMX2	Rbmx2
TMEM245	Tmem245
RNU6936P	Gm23428
RNU647P	Gm22044,Gm22352,Gm22749
MFSD3	Mfsd3
GOLGA8H	Golga2
TRIM40	Trim40
NEURL1B	Neurl1b
LSM7	Gm10146,Lsm7
VPS41	Vps41
PTPN23	Ptpn23
C5ORF34	4833420G17Rik
CCNC	Ccnc
C5ORF30	D1Ertd622e
LSM1	Lsm1
POLR2E	Polr2e
POLR2D	Polr2d
GATSL3	Gatsl3
GATSL2	Gatsl2
MFSD7	Mfsd7a
POLR2C	Polr2c
POLR2B	Polr2b
POLR2M	Polr2m
POLR2L	Polr2l
AKR7A2	Akr7a5
LSM3	Lsm3
POLR2I	Polr2i
C1ORF141	4921539E11Rik
F11R	F11r
POLR2J	Polr2j
GOLGA8F	Golga2
TLK1	Tlk1
RN7SL519P	Gm27853
TLK2	Tlk2
FAM47C	4930402K13Rik,4930480E11Rik,Fam47c
CCNH	Ccnh
FAM47A	4930402K13Rik,4930480E11Rik,Fam47c
USP53	Usp53
FAM47E	Fam47e
USP51	Usp51
GTF3A	Gtf3a
RN7SKP229	Gm23791
BATF2	Batf2
AGO4	Ago4
ASCC1	Ascc1
RPL17C18ORF32	Gm6133
AGO1	Ago1
AGO3	Ago3
AGO2	Ago2
INO80	Ino80
RASSF9	Rassf9
GAMT	Gamt
VBP1	Vbp1
RASSF8	Rassf8
FAM120B	Fam120b
FAM120C	Fam120c
FAM120A	Fam120a
RNU6728P	Gm25793
MAPK14	Mapk14
MAPK15	Mapk15
MAPK10	Mapk10
MAPK11	Mapk11
MAPK12	Mapk12
MAPK13	Mapk13
OR4F21	Olfr1303
RP1139D86	1700001C19Rik
HPGD	Hpgd
FZD1	Fzd1
FZD2	Fzd2
FZD3	Fzd3
FZD4	Fzd4
FZD5	Fzd5
FZD6	Fzd6
FZD7	Fzd7
CACNB3	Cacnb3
CACNB2	Cacnb2
CACNB1	Cacnb1
CYP2B6	Cyp2b10,Cyp2b13,Cyp2b19,Cyp2b23,Cyp2b9
SLC34A1	Slc34a1
CACNB4	Cacnb4
SPAG16	Spag16
OR10W1	Olfr1490,Olfr1493-ps1
TBRG1	Tbrg1
CIDEA	Cidea
RP11446E244	Cyb5rl
TAMM41	Tamm41
ASH1L	Ash1l
RASSF2	Rassf2
TRGC1	Tcrg-C1,Tcrg-C2,Tcrg-C3,Tcrg-C4
KMT2D	Kmt2d
HIST1H1T	Hist1h1t
CLEC4M	Cd209a,Cd209b,Cd209c,Cd209d,Cd209e
PHF24	Phf24
ATP12A	Atp12a
CTRB2	Ctrb1
OR8B3	Olfr147,Olfr918
AMFR	Amfr
CTRB1	Ctrb1
USO1	Uso1
PLCD3	Plcd3
OR8B4	Olfr878
PLCD1	Plcd1
HIST1H1D	Hist1h1d
HIST1H1E	Hist1h1e
OR8B8	Olfr145
HIST1H1A	Hist1h1a
HIST1H1B	Gm6970,Hist1h1b
HIST1H1C	Hist1h1c
ANKZF1	Ankzf1
B3GALNT2	B3galnt2
B3GALNT1	B3galnt1
TTC14	Ttc14
TACC1	Tacc1
TACC2	Tacc2
TACC3	Tacc3
JDP2	Jdp2
PICK1	Pick1
RNU6162P	Gm26139
RP5860F198	Gm28372
RNU6648P	Gm26355
TMEM239	Tmem239
TMEM238	Tmem238
SLC1A2	Slc1a2
NHP2	Nhp2
TMEM237	Tmem237
MRTO4	Mrto4
KIF20B	Kif20b
TMEM230	Tmem230
TMEM233	Tmem233
KIF20A	Kif20a
MKI67	Mki67
MAP6D1	Map6d1
GNMT	Gnmt
LPXN	Lpxn
MCC	Mcc
CAB39	Cab39
CKMT1A	Ckmt1
CKMT1B	Ckmt1
NOTCH1	Notch1
RNU6ATAC11P	Gm25338,Gm26249
ANKHD1	Ankhd1
C6ORF222	4930539E08Rik
GNAT3	Gnat3
AZIN2	Azin2
C6ORF226	2310039H08Rik
BCL2L15	Bcl2l15
BCL2L14	Bcl2l14
TTC16	Ttc16
BCL2L11	Bcl2l11
BCL2L10	Bcl2l10
BCL2L13	Bcl2l13
BCL2L12	Bcl2l12
TMIGD3	Tmigd3
ESCO2	Esco2
ESCO1	Esco1
SNORA16A	Gm23454,Snora16a
SNORA16B	Snora16a
NUP43	Nup43
CTU2	Ctu2
CTU1	Ctu1
SCARNA22	Gm22728
NCKAP1	Nckap1
SCARNA20	Gm24682,Gm26215
OR6K2	Olfr420
SCEL	Scel
MSX1	Msx1
MSX2	Msx2
5S_RRNA	Gm24647,Gm25329,n-R5s16,n-R5s42
ADRM1	Adrm1,Gm9774
ZNF558	Zfp558
HSD11B1	Hsd11b1
RPL3	Rpl3
CHD1	Chd1
OR2AT4	Olfr520
ISYNA1	Isyna1
SAXO1	Saxo1
GTF2H3	Gtf2h3
GTF2H2	Gtf2h2
GTF2H1	Gtf2h1
CTD2006C110	2410141K09Rik,2610044O15Rik8,3300002I08Rik,6720489N17Rik,9030624G23Rik,B230307C23Rik,Gm10130,Gm10479,Gm14288,Gm14295,Gm14435,Gm14440
GTF2H5	Gtf2h5
GTF2H4	Gtf2h4
MAPKAP1	Mapkap1
TVP23B	Tvp23b
TVP23A	Tvp23a
CACNG1	Cacng1
ALDH1B1	Aldh1b1
DEFB125	Defb26
COX7A2L	Cox7a2l
DBX2	Dbx2
PCDH9	Pcdh9
DBX1	Dbx1
SAXO2	Saxo2
RPL38	Rpl38
RPL39	Rpl39
RPL36	Gm8973,Rpl36
CACNG4	Cacng4
RPL34	Rpl34
RPL35	Gm10269,Gm2000,Gm8444,Rpl35
RPL30	Rpl30
PCDH7	Pcdh7
TARBP2	Tarbp2
TARBP1	Tarbp1
CACNG6	Cacng6
TSHZ1	Tshz1
ATF5	Atf5
ATF4	Atf4
ATF7	Atf7,Gm28047
ATF6	Atf6
ATF1	Atf1
ATF3	Atf3
ATF2	Atf2
SMARCC2	Smarcc2
PPP1R42	Ppp1r42
SMARCC1	Smarcc1
RYK	Ryk
BUB1B	Bub1b
SUMO1	Sumo1
INVS	Invs
CTTNBP2	Cttnbp2
RNF103CHMP3	Chmp3
PSPC1	Pspc1
TMCO6	Tmco6
SNORA7B	Gm27991,Snora7a
CORO7PAM16	Coro7
SNORA7A	Gm27991,Snora7a
NUP210L	Nup210l
ANKIB1	Ankib1
HSF5	Hsf5
TTC12	Ttc12
HSF4	Hsf4
EEF2K	Eef2k
BLOC1S6	Bloc1s6
LHX2	Lhx2
BLOC1S4	Bloc1s4
BLOC1S3	Bloc1s3
BLOC1S2	Bloc1s2
BLOC1S1	Bloc1s1
RP11400G35	Cyp2c55
LHX8	Lhx8
LHX9	Lhx9
SIVA1	Gm16380,Siva1
MIB1	Mib1
MIB2	Mib2
PTGER3	Ptger3
TOR3A	Tor3a
AL0785841	Fam65b
OR52H1	Olfr648
TRBV19	Trbv19
NADK2	Nadk2
RNU6545P	Gm23468
B3GALT4	B3galt4
B3GALT5	B3galt5
B3GALT6	B3galt6
LEPROTL1	Leprotl1
CTNNAL1	Ctnnal1
B3GALT1	B3galt1
B3GALT2	B3galt2
